Date,Time,1RSS(dB),2RSS(dB),RQly(%),RSNR(dB),ANT,RFMD,TPWR(mW),TRSS(dB),TQly(%),TSNR(dB),GPS,GSpd(kmh),Hdg(°),Alt(m),Sats,RxBt(V),Curr(A),Capa(mAh),Bat%(%),Ptch(rad),Roll(rad),Yaw(rad),FM,VSpd(m/s),Rud,Ele,Thr,Ail,S1,S2,SA,SB,SC,SD,SE,SF,SG,SH,LSW,CH1(us),CH2(us),CH3(us),CH4(us),CH5(us),CH6(us),CH7(us),CH8(us),CH9(us),CH10(us),CH11(us),CH12(us),CH13(us),CH14(us),CH15(us),CH16(us),CH17(us),CH18(us),CH19(us),CH20(us),CH21(us),CH22(us),CH23(us),CH24(us),CH25(us),CH26(us),CH27(us),CH28(us),CH29(us),CH30(us),CH31(us),CH32(us),TxBat(V)
2023-12-03,15:10:00.490,-41,0,100,14,0,5,25,-30,100,14,51.502843 -0.099507,6.3,161.0,0,12,11.9,1.3,643,77,0.1,-0.05,0.0,ANGL,0.1,-1,0,-1024,173,160,570,-1,1,0,-1,-1,1,-1,-1,0x0000000000000000,1578,1500,988,1500,2012,988,2012,1500,988,988,1580,988,988,1785,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.7
2023-12-03,15:10:00.990,-43,0,100,14,0,5,25,-28,100,14,51.502841 -0.099474,6.3,161.0,0,12,11.9,1.3,643,77,0.1,-0.05,0.0,ANGL,0.1,0,107,-1024,-2,160,570,-1,1,0,-1,-1,1,-1,-1,0x0000000000000000,1500,1544,988,1500,2012,988,2012,1500,988,988,1580,988,988,1785,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.7
2023-12-03,15:10:01.490,-45,0,100,14,0,5,25,-31,100,16,51.502838 -0.099441,6.3,161.0,0,12,11.9,1.3,643,77,0.1,-0.05,0.0,ANGL,0.1,-1,166,-1024,-2,160,570,-1,1,0,-1,-1,1,-1,-1,0x0000000000000000,1500,1574,988,1500,2012,988,2012,1500,988,988,1580,988,988,1785,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.7
2023-12-03,15:10:01.990,-44,0,100,14,0,5,25,-32,100,15,51.502836 -0.099409,6.3,161.0,0,12,11.9,1.3,643,77,0.1,-0.05,0.0,ANGL,0.1,0,-3,-1024,6,160,570,-1,1,0,-1,-1,1,-1,-1,0x0000000000000000,1500,1500,988,1500,2012,988,2012,1500,988,988,1580,988,988,1785,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.7
2023-12-03,15:10:02.490,-44,0,100,14,0,5,25,-34,100,14,51.502833 -0.099376,6.3,161.0,0,12,11.9,1.3,643,77,0.1,-0.05,0.0,ANGL,0.1,-1,-1,-1024,153,160,570,-1,1,0,-1,-1,1,-1,-1,0x0000000000000000,1567,1500,988,1500,2012,988,2012,1500,988,988,1580,988,988,1785,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.7
2023-12-03,15:10:02.990,-41,0,100,14,0,5,25,-22,100,14,51.502830 -0.099343,6.3,161.0,0,12,11.9,1.3,643,77,0.1,-0.05,0.0,ANGL,0.1,-1,-1,-1024,0,160,570,-1,1,0,-1,-1,1,-1,-1,0x0000000000000000,1500,1500,988,1500,2012,988,2012,1500,988,988,1580,988,988,1785,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.7
2023-12-03,15:10:03.490,-34,0,100,14,0,5,25,-23,100,15,51.502827 -0.099311,6.3,161.0,0,12,11.9,1.3,643,77,0.1,-0.05,0.0,ANGL,0.1,-1,-1,-702,-1,160,570,-1,1,0,-1,-1,1,-1,-1,0x0000000000000000,1500,1500,1149,1500,2012,988,2012,1500,988,988,1580,988,988,1785,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.7
2023-12-03,15:10:03.990,-34,0,100,14,0,5,25,-22,100,13,51.502824 -0.099278,0.0,0.0,0,12,11.9,1.3,643,77,0.1,-0.05,0.0,ANGL,0.1,0,-1,-259,-1,160,571,-1,1,0,-1,-1,1,-1,-1,0x0000000000000000,1500,1500,1371,1500,2012,988,2012,1500,988,988,1580,988,988,1785,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.7
2023-12-03,15:10:04.490,-33,0,100,14,0,5,25,-23,100,14,51.502821 -0.099246,0.0,0.0,0,12,11.9,1.3,643,77,0.1,-0.05,0.0,ANGL,0.1,-1,-1,-251,-1,160,570,-1,1,0,-1,-1,1,-1,-1,0x0000000000000000,1500,1500,1375,1500,2012,988,2012,1500,988,988,1580,988,988,1785,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.7
2023-12-03,15:10:04.990,-37,0,100,14,0,5,25,-30,100,13,51.502817 -0.099213,0.0,0.0,0,12,11.9,2.5,645,75,0.1,-0.05,0.0,ANGL,0.1,-22,-1,951,-1,98,570,-1,1,0,-1,-1,1,-1,-1,0x0000000000000000,1500,1500,1975,1499,2012,988,2012,1500,988,988,1549,988,988,1785,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.7
2023-12-03,15:10:05.490,-41,0,100,14,0,5,25,-27,100,13,51.502814 -0.099181,0.0,0.0,0,12,11.9,2.5,645,75,0.1,-0.05,0.0,ANGL,0.1,4,-597,1024,-156,98,570,-1,1,0,-1,-1,1,-1,-1,0x0000000000000000,1431,1206,2012,1500,2012,988,2012,1500,988,988,1549,988,988,1785,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.7
2023-12-03,15:10:05.990,-40,0,100,14,0,5,25,-37,100,14,51.502810 -0.099148,0.0,0.0,0,12,11.9,2.5,645,75,-0.51,-0.03,-0.12,ANGL,0.1,-1,-1024,1024,46,98,570,-1,1,0,-1,-1,1,-1,-1,0x0000000000000000,1513,988,2012,1500,2012,988,2012,1500,988,988,1549,988,988,1785,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.7
2023-12-03,15:10:06.490,-45,0,100,14,0,5,25,-50,100,15,51.502806 -0.099116,0.0,0.0,0,12,11.9,2.5,645,75,-0.51,-0.03,-0.12,ANGL,0.1,0,-225,1024,-7,98,570,-1,1,0,-1,-1,1,-1,-1,0x0000000000000000,1500,1396,2012,1500,2012,988,2012,1500,988,988,1549,988,988,1785,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.7
2023-12-03,15:10:06.990,-56,0,100,14,0,5,25,-44,100,14,51.502802 -0.099084,0.0,0.0,0,12,11.9,2.5,645,75,-0.51,-0.03,-0.12,ANGL,0.1,-1,-758,1024,-58,98,570,-1,1,0,-1,-1,1,-1,-1,0x0000000000000000,1481,1124,2012,1500,2012,988,2012,1500,988,988,1549,988,988,1785,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.7
2023-12-03,15:10:07.490,-53,0,100,14,0,5,25,-43,100,13,51.502798 -0.099051,0.0,0.0,0,12,11.9,2.5,645,75,-0.51,-0.03,-0.12,ANGL,0.1,-1,-855,1024,-4,98,570,-1,1,0,-1,-1,1,-1,-1,0x0000000000000000,1500,1075,2012,1500,2012,988,2012,1500,988,988,1549,988,988,1785,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.7
2023-12-03,15:10:07.990,-54,0,100,14,0,5,25,-44,100,15,51.502793 -0.099019,0.0,0.0,0,12,11.9,2.5,645,75,-0.51,-0.03,-0.12,ANGL,2.8,-2,-6,1024,-2,98,570,-1,1,0,-1,-1,1,-1,-1,0x0000000000000000,1500,1500,2012,1500,2012,988,2012,1500,988,988,1549,988,988,1785,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.7
2023-12-03,15:10:08.490,-61,0,100,14,0,5,25,-53,100,14,51.502789 -0.098987,0.0,0.0,0,12,11.9,2.5,645,75,-0.51,-0.03,-0.12,ANGL,2.8,-2,-461,1024,-181,98,570,-1,1,0,-1,-1,1,-1,-1,0x0000000000000000,1418,1276,2012,1500,2012,988,2012,1500,988,988,1549,988,988,1785,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.7
2023-12-03,15:10:08.990,-65,0,100,14,0,5,25,-58,100,14,51.502784 -0.098955,0.0,0.0,0,12,11.9,2.5,645,75,-0.51,-0.03,-0.12,ANGL,2.8,-1,-142,1024,0,98,570,-1,1,0,-1,-1,1,-1,-1,0x0000000000000000,1500,1438,2012,1500,2012,988,2012,1500,988,988,1549,988,988,1785,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.7
2023-12-03,15:10:09.490,-65,0,100,14,0,5,25,-55,100,13,51.502780 -0.098923,41.5,-325.06,2,12,11.9,2.5,645,75,-0.51,-0.03,-0.12,ANGL,2.8,-1,-3,1024,-1,98,570,-1,1,0,-1,-1,1,-1,-1,0x0000000000000000,1500,1500,2012,1500,2012,988,2012,1500,988,988,1549,988,988,1785,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.7
2023-12-03,15:10:09.990,-65,0,100,14,0,5,25,-61,100,14,51.502775 -0.098891,41.5,-325.06,2,12,11.9,2.5,645,75,-0.51,-0.03,-0.12,ANGL,2.8,-1,-1,1024,-1,98,570,-1,1,0,-1,-1,1,-1,-1,0x0000000000000000,1500,1500,2012,1500,2012,988,2012,1500,988,988,1549,988,988,1785,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.7
2023-12-03,15:10:10.490,-66,0,99,14,0,5,25,-61,100,13,51.502770 -0.098859,41.5,-325.06,2,12,11.9,2.5,645,75,-0.51,-0.03,-0.12,ANGL,2.8,-1,-1,1024,-1,98,570,-1,1,0,-1,-1,1,-1,-1,0x0000000000000000,1500,1500,2012,1500,2012,988,2012,1500,988,988,1549,988,988,1785,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.7
2023-12-03,15:10:10.990,-72,0,100,14,0,5,25,-60,100,14,51.502765 -0.098827,41.5,-325.06,2,12,11.4,16.3,665,57,-0.51,-0.03,-0.12,ANGL,2.8,-1,-659,1024,-1,98,570,-1,1,0,-1,-1,1,-1,-1,0x0000000000000000,1500,1175,2012,1500,2012,988,2012,1500,988,988,1549,988,988,1785,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.7
2023-12-03,15:10:11.490,-66,0,99,14,0,5,25,-55,100,15,51.502759 -0.098795,41.5,-325.06,2,12,11.4,16.3,665,57,-0.05,0.04,-0.37,ANGL,2.8,-2,-245,1024,-2,98,570,-1,1,0,-1,-1,1,-1,-1,0x0000000000000000,1500,1386,2012,1500,2012,988,2012,1500,988,988,1549,988,988,1785,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.7
2023-12-03,15:10:11.990,-70,0,99,14,0,5,25,-64,100,15,51.502754 -0.098763,41.5,-325.06,2,12,11.4,16.3,665,57,-0.05,0.04,-0.37,ANGL,2.8,-1,-96,1024,-7,98,570,-1,1,0,-1,-1,1,-1,-1,0x0000000000000000,1500,1462,2012,1500,2012,988,2012,1500,988,988,1549,988,988,1785,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.7
2023-12-03,15:10:12.490,-76,0,99,13,0,5,25,-70,100,15,51.502748 -0.098732,41.5,-325.06,2,12,11.4,16.3,665,57,-0.05,0.04,-0.37,ANGL,2.8,-2,-361,1024,-168,259,570,-1,1,0,-1,-1,1,-1,-1,0x0000000000000000,1425,1327,2012,1500,2012,988,2012,1500,988,988,1629,988,988,1785,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.7
2023-12-03,15:10:12.990,-73,0,99,14,0,5,25,-63,100,14,51.502743 -0.098700,41.5,-325.06,2,12,11.4,16.3,665,57,-0.05,0.04,-0.37,ANGL,2.8,-1,-607,1024,-489,276,570,-1,0,0,-1,-1,1,-1,-1,0x0000000000000000,1261,1201,2012,1500,2012,988,1500,1500,988,988,1638,988,988,1785,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.7
2023-12-03,15:10:13.490,-80,0,98,13,0,5,25,-75,100,13,51.502737 -0.098669,41.5,-325.06,2,12,11.4,16.3,665,57,-0.05,0.04,-0.37,ANGL,0.1,-1,-177,1024,568,275,571,-1,0,0,-1,-1,1,-1,-1,0x0000000000000000,1779,1420,2012,1500,2012,988,1500,1500,988,988,1637,988,988,1785,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.7
2023-12-03,15:10:13.990,-79,0,99,12,0,5,25,-71,100,6,51.502731 -0.098637,41.5,-325.06,2,12,11.4,16.3,665,57,-0.05,0.04,-0.37,ANGL,0.1,-1,-357,1024,-314,275,570,-1,0,0,-1,-1,1,-1,-1,0x0000000000000000,1351,1329,2012,1500,2012,988,1500,1500,988,988,1637,988,988,1785,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.7
2023-12-03,15:10:14.490,-83,0,98,12,0,5,25,-71,100,13,51.502724 -0.098606,41.5,-325.06,2,12,11.4,16.3,665,57,-0.05,0.04,-0.37,ANGL,0.1,-2,-56,1024,-1,275,570,-1,0,0,-1,-1,1,-1,-1,0x0000000000000000,1500,1482,2012,1500,2012,988,1500,1500,988,988,1637,988,988,1785,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.7
2023-12-03,15:10:14.990,-81,0,99,13,0,5,25,-74,100,13,51.502718 -0.098574,79.2,322.9,9,12,11.4,16.3,665,57,-0.05,0.04,-0.37,ANGL,0.1,-1,-9,1024,4,275,570,-1,0,0,-1,-1,1,-1,-1,0x0000000000000000,1500,1500,2012,1500,2012,988,1500,1500,988,988,1637,988,988,1785,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.7
2023-12-03,15:10:15.490,-83,0,95,11,0,5,25,-72,100,13,51.502712 -0.098543,79.2,322.9,9,12,11.4,16.3,665,57,-0.05,0.04,-0.37,ANGL,0.1,-1,-220,1024,19,275,571,-1,0,0,-1,-1,1,-1,-1,0x0000000000000000,1500,1398,2012,1500,2012,988,1500,1500,988,988,1637,988,988,1785,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.7
2023-12-03,15:10:15.990,-84,0,93,12,0,5,25,-71,100,13,51.502705 -0.098512,79.2,322.9,9,12,11.4,16.3,665,57,-0.05,0.04,-0.37,ANGL,0.1,-1,-7,1024,340,275,570,-1,0,0,-1,-1,1,-1,-1,0x0000000000000000,1663,1500,2012,1500,2012,988,1500,1500,988,988,1637,988,988,1785,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.7
2023-12-03,15:10:16.490,-91,0,98,11,0,5,25,-88,100,9,51.502698 -0.098481,79.2,322.9,9,12,11.4,15.2,689,55,-0.05,0.04,-0.37,ANGL,0.1,-2,0,1024,-2,275,570,-1,0,0,-1,-1,1,-1,-1,0x0000000000000000,1500,1500,2012,1500,2012,988,1500,1500,988,988,1637,988,988,1785,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.7
2023-12-03,15:10:16.990,-91,0,97,9,0,5,25,-93,100,2,51.502692 -0.098450,79.2,322.9,9,12,11.4,15.2,689,55,-0.29,-0.13,-1.81,ANGL,0.1,-2,-3,1024,5,275,570,-1,0,0,-1,-1,1,-1,-1,0x0000000000000000,1500,1500,2012,1500,2012,988,1500,1500,988,988,1637,988,988,1785,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.7
2023-12-03,15:10:17.490,-87,0,96,12,0,5,25,-80,100,13,51.502685 -0.098419,79.2,322.9,9,12,11.4,15.2,689,55,-0.29,-0.13,-1.81,ANGL,0.1,-2,1,1024,-188,275,570,-1,0,0,-1,-1,1,-1,-1,0x0000000000000000,1415,1500,2012,1500,2012,988,1500,1500,988,988,1637,988,988,1785,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.7
2023-12-03,15:10:17.990,-85,0,99,12,0,5,25,-73,100,13,51.502677 -0.098388,79.2,322.9,9,12,11.4,15.2,689,55,-0.29,-0.13,-1.81,AIR,0.1,-2,0,1024,182,275,570,-1,0,0,-1,-1,1,-1,-1,0x0000000000000000,1582,1500,2012,1500,2012,988,1500,1500,988,988,1637,988,988,1785,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.7
2023-12-03,15:10:18.490,-87,0,99,10,0,5,25,-84,100,8,51.502670 -0.098357,79.2,322.9,9,12,11.4,15.2,689,55,-0.29,-0.13,-1.81,AIR,0.1,-1,-3,1024,-87,275,570,-1,0,0,-1,-1,1,-1,-1,0x0000000000000000,1466,1500,2012,1500,2012,988,1500,1500,988,988,1637,988,988,1785,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.7
2023-12-03,15:10:18.990,-90,0,98,10,0,5,25,-80,100,12,51.502663 -0.098326,79.2,322.9,9,12,11.4,15.2,689,55,-0.29,-0.13,-1.81,AIR,3.3,-1,-3,1024,206,275,570,-1,0,0,-1,-1,1,-1,-1,0x0000000000000000,1594,1500,2012,1500,2012,988,1500,1500,988,988,1637,988,988,1785,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.7
2023-12-03,15:10:19.490,-95,0,99,7,0,5,25,-89,96,7,51.502655 -0.098296,79.2,322.9,9,12,11.4,15.2,689,55,-0.29,-0.13,-1.81,AIR,3.3,-1,-1,1024,-1,275,570,-1,0,0,-1,-1,1,-1,-1,0x0000000000000000,1500,1500,2012,1500,2012,988,1500,1500,988,988,1637,988,988,1785,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.7
2023-12-03,15:10:19.990,-96,0,98,6,0,5,25,-82,96,1,51.502648 -0.098265,79.2,322.9,9,12,11.4,15.2,689,55,-0.29,-0.13,-1.81,AIR,3.3,-1,0,1024,-5,275,571,-1,0,0,-1,-1,1,-1,-1,0x0000000000000000,1500,1500,2012,1500,2012,988,1500,1500,988,988,1637,988,988,1785,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.7
2023-12-03,15:10:20.490,-94,0,100,8,0,5,25,-84,96,7,51.502640 -0.098235,61.6,237.2,33,12,11.4,15.2,689,55,-0.29,-0.13,-1.81,AIR,3.3,-1,-1,1024,-96,275,571,-1,0,0,-1,-1,1,-1,-1,0x0000000000000000,1462,1500,2012,1500,2012,988,1500,1500,988,988,1637,988,988,1785,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.7
